Organization,Department,Designation,Functional Role
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Survey Operations"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Sampling"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Data Quality & Validation"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Research & Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Economic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Social Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Demographic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Statistical Computing"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Data Management"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Data Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Policy Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Programme Management"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Monitoring & Evaluation"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Training & Capacity Building"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Administration"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Finance & Accounts"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","IT / Digital Systems"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Database Management"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","AI / Machine Learning"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Cyber Security"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","e-Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Learning & Development"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Statistical Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Data Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Survey Operations"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Sampling"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Data Quality & Validation"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Research & Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Economic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Social Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Demographic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Statistical Computing"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Data Management"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Data Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Policy Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Programme Management"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Monitoring & Evaluation"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Training & Capacity Building"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Administration"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Finance & Accounts"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","IT / Digital Systems"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Database Management"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","AI / Machine Learning"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Cyber Security"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","e-Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Junior Statistical Officer","Learning & Development"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Statistical Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Data Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Survey Operations"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Sampling"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Data Quality & Validation"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Research & Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Economic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Social Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Demographic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Statistical Computing"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Data Management"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Data Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Policy Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Programme Management"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Monitoring & Evaluation"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Training & Capacity Building"
"National Statistical Commission (NSC)","Policy and Coordination","Other","Administration"
